LSTAT,RM,DIS,NOX,PTRATIO,CRIM,TARGET
5.81,6.169,5.7209,0.448,17.9,0.1415,25.3
7.44,6.211,5.7209,0.448,17.9,0.15936,24.7
9.55,6.069,5.7209,0.448,17.9,0.12269,21.2
10.21,5.682,5.1004,0.448,17.9,0.17142,19.3
14.15,5.786,5.1004,0.448,17.9,0.18836,20.0
18.8,6.03,5.6894,0.448,17.9,0.22927,16.6
30.81,5.399,5.87,0.448,17.9,0.25387,14.4
16.2,5.602,6.0877,0.448,17.9,0.21977,19.4
13.45,5.963,6.8147,0.439,16.8,0.08873,19.7
9.43,6.115,6.8147,0.439,16.8,0.04337,20.5
5.28,6.511,6.8147,0.439,16.8,0.0536,25.0
8.43,5.998,6.8147,0.439,16.8,0.04981,23.4
14.8,5.888,7.3197,0.41,21.1,0.0136,18.9
4.81,7.249,8.6966,0.403,17.9,0.01311,35.4
5.77,6.383,9.1876,0.41,17.3,0.02055,24.7
3.95,6.816,8.3248,0.411,15.1,0.01432,31.6
6.86,6.145,7.8148,0.453,19.7,0.15445,23.3
9.22,5.927,6.932,0.453,19.7,0.10328,19.6
13.15,5.741,7.2254,0.453,19.7,0.14932,18.7
14.44,5.966,6.8185,0.453,19.7,0.17171,16.0
6.73,6.456,7.2255,0.453,19.7,0.11027,22.2
9.5,6.762,7.9809,0.453,19.7,0.1265,25.0
8.05,7.104,9.2229,0.4161,18.6,0.01951,33.0
4.67,6.29,6.6115,0.398,16.1,0.03584,23.5
10.24,5.787,6.6115,0.398,16.1,0.04379,19.4
8.1,5.878,6.498,0.409,18.9,0.05789,22.0
13.09,5.594,6.498,0.409,18.9,0.13554,17.4
8.79,5.885,6.498,0.409,18.9,0.12816,20.9
6.72,6.417,5.2873,0.413,19.2,0.08826,24.2
9.88,5.961,5.2873,0.413,19.2,0.15876,21.7
5.52,6.065,5.2873,0.413,19.2,0.09164,22.8
7.54,6.245,5.2873,0.413,19.2,0.19539,23.4
6.78,6.273,4.2515,0.437,18.7,0.07896,24.1
8.94,6.286,4.5026,0.437,18.7,0.09512,21.4
11.97,6.279,4.0522,0.437,18.7,0.10153,20.0
10.27,6.14,4.0905,0.437,18.7,0.08707,20.8
12.34,6.232,5.0141,0.437,18.7,0.05646,21.2
9.1,5.874,4.5026,0.437,18.7,0.08387,20.3
5.29,6.727,5.4007,0.426,19.0,0.04113,28.0
7.22,6.619,5.4007,0.426,19.0,0.04462,23.9
6.72,6.302,5.4007,0.426,19.0,0.03659,24.8
7.51,6.167,5.4007,0.426,19.0,0.03551,22.9
9.62,6.389,4.7794,0.449,18.5,0.05059,23.9
6.53,6.63,4.4377,0.449,18.5,0.05735,26.6
12.86,6.015,4.4272,0.449,18.5,0.05188,22.5
8.44,6.121,3.7476,0.449,18.5,0.07151,22.2
5.5,7.007,3.4217,0.489,17.8,0.0566,23.6
5.7,7.079,3.4145,0.489,17.8,0.05302,28.7
8.81,6.417,3.0923,0.489,17.8,0.04684,22.6
8.2,6.405,3.0921,0.489,17.8,0.03932,22.0
8.16,6.442,3.6659,0.464,18.2,0.04203,22.9
6.21,6.211,3.6659,0.464,18.2,0.02875,25.0
10.59,6.249,3.615,0.464,18.2,0.04294,20.6
6.65,6.625,3.4952,0.445,18.0,0.12204,28.4
11.34,6.163,3.4952,0.445,18.0,0.11504,21.4
4.21,8.069,3.4952,0.445,18.0,0.12083,38.7
3.57,7.82,3.4952,0.445,18.0,0.08187,43.8
6.19,7.416,3.4952,0.445,18.0,0.0686,33.2
9.42,6.727,2.7778,0.52,20.9,0.14866,27.5
7.67,6.781,2.8561,0.52,20.9,0.11432,26.5
10.63,6.405,2.7147,0.52,20.9,0.22876,18.6
13.44,6.137,2.7147,0.52,20.9,0.21161,19.3
12.33,6.167,2.421,0.52,20.9,0.1396,20.1
16.47,5.851,2.1069,0.52,20.9,0.13262,19.5
18.66,5.836,2.211,0.52,20.9,0.1712,19.5
14.09,6.127,2.1224,0.52,20.9,0.13117,20.4
12.27,6.474,2.4329,0.52,20.9,0.12802,19.8
15.55,6.229,2.5451,0.52,20.9,0.26363,19.4
13.0,6.195,2.7778,0.52,20.9,0.10793,21.7
10.16,6.715,2.6775,0.547,17.8,0.10084,22.8
16.21,5.913,2.3534,0.547,17.8,0.12329,18.8
17.09,6.092,2.548,0.547,17.8,0.22212,18.7
10.45,6.254,2.2565,0.547,17.8,0.14231,18.5
15.76,5.928,2.4631,0.547,17.8,0.17134,18.3
12.04,6.176,2.7301,0.547,17.8,0.13158,21.2
10.3,6.021,2.7474,0.547,17.8,0.15098,19.2
15.37,5.872,2.4775,0.547,17.8,0.13058,20.4
13.61,5.731,2.7592,0.547,17.8,0.14476,19.3
14.37,5.87,2.2577,0.581,19.1,0.06899,22.0
14.27,6.004,2.1974,0.581,19.1,0.07165,20.3
17.93,5.961,2.0869,0.581,19.1,0.09299,20.5
25.41,5.856,1.9444,0.581,19.1,0.15038,17.3
17.58,5.879,2.0063,0.581,19.1,0.09849,18.8
14.81,5.986,1.9929,0.581,19.1,0.16902,21.4
27.26,5.613,1.7572,0.581,19.1,0.38735,15.7
17.19,5.693,1.7883,0.624,21.2,0.25915,16.2
15.39,6.431,1.8125,0.624,21.2,0.32543,18.0
18.34,5.637,1.9799,0.624,21.2,0.88125,14.3
12.6,6.458,2.1185,0.624,21.2,0.34006,19.2
12.26,6.326,2.271,0.624,21.2,1.19294,19.6
11.12,6.372,2.3274,0.624,21.2,0.59005,23.0
15.03,5.822,2.4699,0.624,21.2,0.32982,18.4
17.31,5.757,2.346,0.624,21.2,0.97617,15.6
16.96,6.335,2.1107,0.624,21.2,0.55778,18.1
16.9,5.942,1.9669,0.624,21.2,0.32264,17.4
14.59,6.454,1.8498,0.624,21.2,0.35233,17.1
21.32,5.857,1.6686,0.624,21.2,0.2498,13.3
18.46,6.151,1.6687,0.624,21.2,0.54452,17.8
24.16,6.174,1.6119,0.624,21.2,0.2909,14.0
34.41,5.019,1.4394,0.624,21.2,1.62864,14.4
26.82,5.403,1.3216,0.871,14.7,3.32105,13.4
26.42,5.468,1.4118,0.871,14.7,4.0974,15.6
29.29,4.903,1.3459,0.871,14.7,2.77974,11.8
27.8,6.13,1.4191,0.871,14.7,2.37934,13.8
16.65,5.628,1.5166,0.871,14.7,2.15505,15.6
29.53,4.926,1.4608,0.871,14.7,2.36862,14.6
28.32,5.186,1.5296,0.871,14.7,2.33099,17.8
21.45,5.597,1.5257,0.871,14.7,2.73397,15.4
14.1,6.122,1.618,0.871,14.7,1.6566,21.5
13.28,5.404,1.5916,0.871,14.7,1.49632,19.6
12.12,5.012,1.6102,0.871,14.7,1.12658,15.3
15.79,5.709,1.6232,0.871,14.7,2.14918,19.4
15.12,6.129,1.7494,0.871,14.7,1.41385,17.0
15.02,6.152,1.7455,0.871,14.7,3.53501,15.6
16.14,5.272,1.7364,0.871,14.7,2.44668,13.1
4.59,6.943,1.8773,0.605,14.7,1.22358,41.3
6.43,6.066,1.7573,0.605,14.7,1.34284,24.3
7.39,6.51,1.7659,0.871,14.7,1.42502,23.3
5.5,6.25,1.7984,0.605,14.7,1.27346,27.0
1.73,7.489,1.9709,0.605,14.7,1.46336,50.0
1.92,7.802,2.0407,0.605,14.7,1.83377,50.0
3.32,8.375,2.162,0.605,14.7,1.51902,50.0
11.64,5.854,2.422,0.605,14.7,2.24236,22.7
9.81,6.101,2.2834,0.605,14.7,2.924,25.0
3.7,7.929,2.0459,0.605,14.7,2.01019,50.0
12.14,5.877,2.4259,0.605,14.7,1.80028,23.8
11.1,6.319,2.1,0.605,14.7,2.3004,23.8
11.32,6.402,2.2625,0.605,14.7,2.44953,22.3
14.43,5.875,2.4259,0.605,14.7,1.20742,17.4
12.03,5.88,2.3887,0.605,14.7,2.3139,19.1
14.69,5.572,2.5961,0.51,16.6,0.13914,23.1
9.04,6.416,2.6463,0.51,16.6,0.09178,23.6
9.64,5.859,2.7019,0.51,16.6,0.08447,22.6
5.33,6.546,3.1323,0.51,16.6,0.06664,29.4
10.11,6.02,3.5549,0.51,16.6,0.07022,23.2
6.29,6.315,3.3175,0.51,16.6,0.05425,24.6
6.92,6.86,2.9153,0.51,16.6,0.06642,29.9
5.04,6.98,2.829,0.488,17.8,0.0578,37.2
7.56,7.765,2.741,0.488,17.8,0.06588,39.8
9.45,6.144,2.5979,0.488,17.8,0.06888,36.2
4.82,7.155,2.7006,0.488,17.8,0.09103,37.9
5.68,6.563,2.847,0.488,17.8,0.10008,32.5
13.98,5.604,2.9879,0.488,17.8,0.08308,26.4
13.15,6.153,3.2797,0.488,17.8,0.06047,29.6
4.45,7.831,3.1992,0.488,17.8,0.05602,50.0
6.68,6.782,3.7886,0.437,15.2,0.07875,32.0
4.56,6.556,4.5667,0.437,15.2,0.12579,29.8
5.39,7.185,4.5667,0.437,15.2,0.0837,34.9
5.1,6.951,6.4798,0.437,15.2,0.09068,37.0
4.69,6.739,6.4798,0.437,15.2,0.06911,30.5
2.87,7.178,6.4798,0.437,15.2,0.08664,36.4
5.03,6.8,6.2196,0.401,15.6,0.02187,31.1
4.38,6.604,6.2196,0.401,15.6,0.01439,29.1
2.97,7.875,5.6484,0.422,14.4,0.01381,50.0
4.08,7.287,7.309,0.404,12.6,0.04011,33.3
8.61,7.107,7.309,0.404,12.6,0.04666,30.3
6.62,7.274,7.309,0.404,12.6,0.03768,34.6
4.56,6.975,7.6534,0.403,17.0,0.0315,34.9
4.45,7.135,7.6534,0.403,17.0,0.01778,32.9
7.43,6.162,6.27,0.415,14.7,0.03445,24.1
3.11,7.61,6.27,0.415,14.7,0.02177,42.3
3.81,7.853,5.118,0.4161,14.7,0.0351,48.5
2.88,8.034,5.118,0.4161,14.7,0.02009,50.0
10.87,5.891,3.9454,0.489,18.6,0.13642,22.6
10.97,6.326,4.3549,0.489,18.6,0.22969,24.4
18.06,5.783,4.3549,0.489,18.6,0.25199,22.5
14.66,6.064,4.2392,0.489,18.6,0.13587,24.4
23.09,5.344,3.875,0.489,18.6,0.43571,20.0
17.27,5.96,3.8771,0.489,18.6,0.17446,21.7
23.98,5.404,3.665,0.489,18.6,0.37578,19.3
16.03,5.807,3.6526,0.489,18.6,0.21719,22.4
9.38,6.375,3.9454,0.489,18.6,0.14052,28.1
29.55,5.412,3.5875,0.489,18.6,0.28955,23.7
9.47,6.182,3.9454,0.489,18.6,0.19802,25.0
13.51,5.888,3.1121,0.55,16.4,0.0456,23.3
9.69,6.642,3.4211,0.55,16.4,0.07013,28.7
17.92,5.951,2.8893,0.55,16.4,0.11069,21.5
10.5,6.373,3.3633,0.55,16.4,0.11425,23.0
9.71,6.951,2.8617,0.507,17.4,0.35809,26.7
21.46,6.164,3.048,0.507,17.4,0.40771,21.7
9.93,6.879,3.2721,0.507,17.4,0.62356,27.5
7.6,6.618,3.2721,0.507,17.4,0.6147,30.1
4.14,8.266,2.8944,0.504,17.4,0.31533,44.8
4.63,8.725,2.8944,0.504,17.4,0.52693,50.0
3.13,8.04,3.2157,0.504,17.4,0.38214,37.6
6.36,7.163,3.2157,0.504,17.4,0.41238,31.6
3.92,7.686,3.3751,0.504,17.4,0.29819,46.7
3.76,6.552,3.3751,0.504,17.4,0.44178,31.5
11.65,5.981,3.6715,0.504,17.4,0.537,24.3
5.25,7.412,3.6715,0.504,17.4,0.46296,31.7
2.47,8.337,3.8384,0.507,17.4,0.57529,41.7
3.95,8.247,3.6519,0.507,17.4,0.33147,48.3
8.05,6.726,3.6519,0.507,17.4,0.44791,29.0
10.88,6.086,3.6519,0.507,17.4,0.33045,24.0
9.54,6.631,4.148,0.507,17.4,0.52058,25.1
4.73,7.358,4.148,0.507,17.4,0.51183,31.5
6.36,6.481,6.1899,0.428,16.6,0.08244,23.7
7.37,6.606,6.1899,0.428,16.6,0.09252,23.3
11.38,6.897,6.3361,0.428,16.6,0.11329,22.0
12.4,6.095,6.3361,0.428,16.6,0.10612,20.1
11.22,6.358,7.0355,0.428,16.6,0.1029,22.2
5.19,6.393,7.0355,0.428,16.6,0.12757,23.7
12.5,5.593,7.9549,0.431,19.1,0.20608,17.6
18.46,5.605,7.9549,0.431,19.1,0.19133,18.5
9.16,6.108,8.0555,0.431,19.1,0.33983,24.3
10.15,6.226,8.0555,0.431,19.1,0.19657,20.5
9.52,6.433,7.8265,0.431,19.1,0.16439,24.5
6.56,6.718,7.8265,0.431,19.1,0.19073,26.2
5.9,6.487,7.3967,0.431,19.1,0.1403,24.4
3.59,6.438,7.3967,0.431,19.1,0.21409,24.8
3.53,6.957,8.9067,0.431,19.1,0.08221,29.6
3.54,8.259,8.9067,0.431,19.1,0.36894,42.8
6.57,6.108,9.2203,0.392,16.4,0.04819,21.9
9.25,5.876,9.2203,0.392,16.4,0.03548,20.9
3.11,7.454,6.3361,0.394,15.9,0.01538,44.0
5.12,8.704,1.801,0.647,13.0,0.61154,50.0
7.79,7.333,1.8946,0.647,13.0,0.66351,36.0
6.9,6.842,2.0107,0.647,13.0,0.65665,30.1
9.59,7.203,2.1121,0.647,13.0,0.54011,33.8
7.26,7.52,2.1398,0.647,13.0,0.53412,43.1
5.91,8.398,2.2885,0.647,13.0,0.52014,48.8
11.25,7.327,2.0788,0.647,13.0,0.82526,31.0
8.1,7.206,1.9301,0.647,13.0,0.55007,36.5
10.45,5.56,1.9865,0.647,13.0,0.76162,22.8
14.79,7.014,2.1329,0.647,13.0,0.7857,30.7
7.44,8.297,2.4216,0.575,13.0,0.57834,50.0
3.16,7.47,2.872,0.575,13.0,0.5405,43.5
13.65,5.92,3.9175,0.464,18.6,0.09065,20.7
13.0,5.856,4.429,0.464,18.6,0.29916,21.1
6.59,6.24,4.429,0.464,18.6,0.16211,25.2
7.73,6.538,3.9175,0.464,18.6,0.1146,24.4
6.58,7.691,4.3665,0.464,18.6,0.22188,35.2
3.53,6.758,4.0776,0.447,17.6,0.05644,32.4
2.98,6.854,4.2673,0.447,17.6,0.09604,32.0
6.05,7.267,4.7872,0.447,17.6,0.10469,33.2
4.16,6.826,4.8628,0.447,17.6,0.06127,33.1
7.19,6.482,4.1403,0.447,17.6,0.07978,29.1
4.85,6.812,4.1007,0.4429,14.9,0.21038,35.1
3.76,7.82,4.6947,0.4429,14.9,0.03578,45.4
4.59,6.968,5.2447,0.4429,14.9,0.03705,35.4
3.01,7.645,5.2119,0.4429,14.9,0.06129,46.0
3.16,7.923,5.885,0.401,13.6,0.01501,50.0
7.85,7.088,7.3073,0.4,15.3,0.00906,32.2
8.23,6.453,7.3073,0.389,15.3,0.01096,22.0
12.93,6.23,9.0892,0.385,18.2,0.01965,20.1
7.14,6.209,7.3172,0.405,16.6,0.03871,23.2
7.6,6.315,7.3172,0.405,16.6,0.0459,22.3
9.51,6.565,7.3172,0.405,16.6,0.04297,24.8
3.33,6.861,5.1167,0.411,19.2,0.03502,28.5
3.56,7.148,5.1167,0.411,19.2,0.07886,37.3
4.7,6.63,5.1167,0.411,19.2,0.03615,27.9
8.58,6.127,5.5027,0.437,16.0,0.08265,23.9
10.4,6.009,5.5027,0.437,16.0,0.08199,21.7
6.27,6.678,5.9604,0.437,16.0,0.12932,28.6
7.39,6.549,5.9604,0.437,16.0,0.05372,27.1
15.84,5.79,6.32,0.437,16.0,0.14103,20.3
4.97,6.345,7.8278,0.4,14.8,0.06466,22.5
4.74,7.041,7.8278,0.4,14.8,0.05561,29.0
6.07,6.871,7.8278,0.4,14.8,0.04417,24.8
9.5,6.59,5.4917,0.433,16.1,0.03537,22.0
8.67,6.495,5.4917,0.433,16.1,0.09266,26.4
4.86,6.982,5.4917,0.433,16.1,0.1,33.1
6.93,7.236,4.022,0.472,18.4,0.05515,36.1
8.93,6.616,3.37,0.472,18.4,0.05479,28.4
6.47,7.42,3.0992,0.472,18.4,0.07503,33.4
7.53,6.849,3.1827,0.472,18.4,0.04932,28.2
4.54,6.635,3.3175,0.544,18.4,0.49298,22.8
9.97,5.972,3.1025,0.544,18.4,0.3494,20.3
12.64,4.973,2.5194,0.544,18.4,2.63548,16.1
5.98,6.122,2.6403,0.544,18.4,0.79041,22.1
11.72,6.023,2.834,0.544,18.4,0.26169,19.4
7.9,6.266,3.2628,0.544,18.4,0.26938,21.6
9.28,6.567,3.6023,0.544,18.4,0.3692,23.8
11.5,5.705,3.945,0.544,18.4,0.25356,16.2
18.33,5.914,3.9986,0.544,18.4,0.31827,17.8
15.94,5.782,4.0317,0.544,18.4,0.24522,19.8
10.36,6.382,3.5325,0.544,18.4,0.40202,23.1
12.73,6.113,4.0019,0.544,18.4,0.47547,21.0
7.2,6.426,4.5404,0.493,19.6,0.1676,23.8
6.87,6.376,4.5404,0.493,19.6,0.18159,23.1
7.7,6.041,4.7211,0.493,19.6,0.35114,20.4
11.74,5.708,4.7211,0.493,19.6,0.28392,18.5
6.12,6.415,4.7211,0.493,19.6,0.34109,25.0
5.08,6.431,5.4159,0.493,19.6,0.19186,24.6
6.15,6.312,5.4159,0.493,19.6,0.30347,23.0
12.79,6.083,5.4159,0.493,19.6,0.24103,22.2
9.97,5.868,5.2146,0.46,16.9,0.06617,19.3
7.34,6.333,5.2146,0.46,16.9,0.06724,22.6
9.09,6.144,5.8736,0.46,16.9,0.04544,19.8
12.43,5.706,6.6407,0.4379,16.9,0.05023,17.1
7.83,6.031,6.6407,0.4379,16.9,0.03466,19.4
5.68,6.316,6.4584,0.515,20.2,0.05083,22.2
6.75,6.31,6.4584,0.515,20.2,0.03738,20.7
8.01,6.037,5.9853,0.515,20.2,0.03961,21.1
9.8,5.869,5.2311,0.515,20.2,0.03427,19.5
10.56,5.895,5.615,0.515,20.2,0.03041,18.5
8.51,6.059,4.8122,0.515,20.2,0.03306,20.6
9.74,5.985,4.8122,0.515,20.2,0.05497,19.0
9.29,5.968,4.8122,0.515,20.2,0.06151,18.7
5.49,7.241,7.0379,0.442,15.5,0.01301,32.7
8.65,6.54,6.2669,0.518,15.9,0.02498,16.5
7.18,6.696,5.7321,0.484,17.6,0.02543,23.9
4.61,6.874,6.4654,0.484,17.6,0.03049,31.2
10.53,6.014,8.0136,0.442,18.8,0.03113,17.5
12.67,5.898,8.0136,0.442,18.8,0.06162,17.2
6.36,6.516,8.5353,0.429,17.9,0.0187,23.1
5.99,6.635,8.344,0.435,17.0,0.01501,24.5
5.89,6.939,8.7921,0.429,19.7,0.02899,26.6
5.98,6.49,8.7921,0.429,19.7,0.06211,22.9
5.49,6.579,10.7103,0.411,18.3,0.0795,24.1
7.79,5.884,10.7103,0.411,18.3,0.07244,18.6
4.5,6.728,12.1265,0.41,17.0,0.01709,30.1
8.05,5.663,10.5857,0.413,22.0,0.04301,18.2
5.57,5.936,10.5857,0.413,22.0,0.10659,20.6
17.6,6.212,2.1222,0.77,20.2,8.98296,17.8
13.27,6.395,2.5052,0.77,20.2,3.8497,21.7
11.48,6.127,2.7227,0.77,20.2,5.20177,22.7
12.67,6.112,2.5091,0.77,20.2,4.26131,22.6
7.79,6.398,2.5182,0.77,20.2,4.54192,25.0
14.19,6.251,2.2955,0.77,20.2,3.83684,19.9
10.19,5.362,2.1036,0.77,20.2,3.67822,20.8
14.64,5.803,1.9047,0.77,20.2,4.22239,16.8
5.29,8.78,1.9047,0.718,20.2,3.47428,21.9
7.12,3.561,1.6132,0.718,20.2,4.55587,27.5
14.0,4.963,1.7523,0.718,20.2,3.69695,21.9
13.33,3.863,1.5106,0.631,20.2,13.5222,23.1
3.26,4.97,1.3325,0.631,20.2,4.89822,50.0
3.73,6.683,1.3567,0.631,20.2,5.66998,50.0
2.96,7.016,1.2024,0.631,20.2,6.53876,50.0
9.53,6.216,1.1691,0.631,20.2,9.2323,50.0
8.88,5.875,1.1296,0.668,20.2,8.26725,50.0
34.77,4.906,1.1742,0.668,20.2,11.1081,13.8
37.97,4.138,1.137,0.668,20.2,18.4982,13.8
13.44,7.313,1.3163,0.671,20.2,19.6091,15.0
23.24,6.649,1.3449,0.671,20.2,15.288,13.9
21.24,6.794,1.358,0.671,20.2,9.82349,13.3
23.69,6.38,1.3861,0.671,20.2,23.6482,13.1
21.78,6.223,1.3861,0.671,20.2,17.8667,10.2
17.21,6.968,1.4165,0.671,20.2,88.9762,10.4
21.08,6.545,1.5192,0.671,20.2,15.8744,10.9
23.6,5.536,1.5804,0.7,20.2,9.18702,11.3
24.56,5.52,1.5331,0.7,20.2,7.99248,12.3
30.63,4.368,1.4395,0.7,20.2,20.0849,8.8
30.81,5.277,1.4261,0.7,20.2,16.8118,7.2
28.28,4.652,1.4672,0.7,20.2,24.3938,10.5
31.99,5.0,1.5184,0.7,20.2,22.5971,7.4
30.62,4.88,1.5895,0.7,20.2,14.3337,10.2
20.85,5.39,1.7281,0.7,20.2,8.15174,11.5
17.11,5.713,1.9265,0.7,20.2,6.96215,15.1
18.76,6.051,2.1678,0.7,20.2,5.29305,23.2
25.68,5.036,1.77,0.7,20.2,11.5779,9.7
15.17,6.193,1.7912,0.693,20.2,8.64476,13.8
16.35,5.887,1.7821,0.693,20.2,13.3598,12.7
17.12,6.471,1.7257,0.693,20.2,8.71675,13.1
19.37,6.405,1.6768,0.693,20.2,5.87205,12.5
19.92,5.747,1.6334,0.693,20.2,7.67202,8.5
30.59,5.453,1.4896,0.693,20.2,38.3518,5.0
29.97,5.852,1.5004,0.693,20.2,9.91655,6.3
26.77,5.987,1.5888,0.693,20.2,25.0461,5.6
20.32,6.343,1.5741,0.693,20.2,14.2362,7.2
20.31,6.404,1.639,0.693,20.2,9.59571,12.1
19.77,5.349,1.7028,0.693,20.2,24.8017,8.3
27.38,5.531,1.6074,0.693,20.2,41.5292,8.5
22.98,5.683,1.4254,0.693,20.2,67.9208,5.0
23.34,4.138,1.1781,0.659,20.2,20.7162,11.9
12.13,5.608,1.2852,0.659,20.2,11.9511,27.9
26.4,5.617,1.4547,0.597,20.2,7.40389,17.2
19.78,6.852,1.4655,0.597,20.2,14.4383,27.5
10.11,5.757,1.413,0.597,20.2,51.1358,15.0
21.22,6.657,1.5275,0.597,20.2,14.0507,17.2
34.37,4.628,1.5539,0.597,20.2,18.811,17.9
20.08,5.155,1.5894,0.597,20.2,28.6558,16.3
36.98,4.519,1.6582,0.693,20.2,45.7461,7.0
29.05,6.434,1.8347,0.679,20.2,18.0846,7.2
25.79,6.782,1.8195,0.679,20.2,10.8342,7.5
26.64,5.304,1.6475,0.679,20.2,25.9406,10.4
20.62,5.957,1.8026,0.679,20.2,73.5341,8.8
22.74,6.824,1.794,0.718,20.2,11.8123,8.4
15.02,6.411,1.8589,0.718,20.2,11.0874,16.7
15.7,6.006,1.8746,0.718,20.2,7.02259,14.2
14.1,5.648,1.9512,0.614,20.2,12.0482,20.8
23.29,6.103,2.0218,0.614,20.2,7.05042,13.4
17.16,5.565,2.0635,0.584,20.2,8.79212,11.7
24.39,5.896,1.9096,0.679,20.2,15.8603,8.3
15.69,5.837,1.9976,0.584,20.2,12.2472,10.2
14.52,6.202,1.8629,0.679,20.2,37.6619,10.9
21.52,6.193,1.9356,0.679,20.2,7.36711,11.0
24.08,6.38,1.9682,0.679,20.2,9.33889,9.5
17.64,6.348,2.0527,0.584,20.2,8.49213,14.5
19.69,6.833,2.0882,0.584,20.2,10.0623,14.1
12.03,6.425,2.2004,0.584,20.2,6.44405,16.1
16.22,6.436,2.3158,0.713,20.2,5.58107,14.3
15.17,6.208,2.2222,0.713,20.2,13.9134,11.7
23.27,6.629,2.1247,0.74,20.2,11.1604,13.4
18.05,6.461,2.0026,0.74,20.2,14.4208,9.6
26.45,6.152,1.9142,0.74,20.2,15.1772,8.7
34.02,5.935,1.8206,0.74,20.2,13.6781,8.4
22.88,5.627,1.8172,0.74,20.2,9.39063,12.8
22.11,5.818,1.8662,0.74,20.2,22.0511,10.5
19.52,6.406,2.0651,0.74,20.2,9.72418,17.1
16.59,6.219,2.0048,0.74,20.2,5.66637,18.4
18.85,6.485,1.9784,0.74,20.2,9.96654,15.4
23.79,5.854,1.8956,0.74,20.2,12.8023,10.8
23.98,6.459,1.9879,0.74,20.2,10.6718,11.8
17.79,6.341,2.072,0.74,20.2,6.28807,14.9
16.44,6.251,2.198,0.74,20.2,9.92485,12.6
18.13,6.185,2.2616,0.713,20.2,9.32909,14.1
19.31,6.417,2.185,0.713,20.2,7.52601,13.0
17.44,6.749,2.3236,0.713,20.2,6.71772,13.4
17.73,6.655,2.3552,0.713,20.2,5.44114,15.2
17.27,6.297,2.3682,0.713,20.2,5.09017,16.1
16.74,7.393,2.4527,0.713,20.2,8.24809,17.8
18.71,6.728,2.4961,0.713,20.2,9.51363,14.9
18.13,6.525,2.4358,0.713,20.2,4.75237,14.1
19.01,5.976,2.5806,0.713,20.2,4.66883,12.7
16.94,5.936,2.7792,0.713,20.2,8.20058,13.5
16.23,6.301,2.7831,0.713,20.2,7.75223,14.9
14.7,6.081,2.7175,0.713,20.2,6.80117,20.0
16.42,6.701,2.5975,0.713,20.2,4.81213,16.4
14.65,6.376,2.5671,0.713,20.2,3.69311,17.7
13.99,6.317,2.7344,0.713,20.2,6.65492,19.5
10.29,6.513,2.8016,0.713,20.2,5.82115,20.2
13.22,6.209,2.9634,0.655,20.2,7.83932,21.4
14.13,5.759,3.0665,0.655,20.2,3.1636,19.9
